time_ns,din_orig,sub_low,sub_high,dout_recon
5136,2486,-4371,2661,-2651
5146,-1318,-3129,-2342,-6807
5156,4817,3128,-2342,-10858
5166,10877,4370,2661,-4792
5176,6845,577,2655,1350
5186,2705,1742,-2357,-2474
5196,8443,7845,-2367,-6259
5206,14048,8857,2627,-1
5216,9510,4764,2613,6256
5226,4822,5563,-2409,2471
5236,9980,11240,-2426,-1353
5246,14980,11773,2562,4789
5256,9822,7153,2543,10855
5266,4510,7388,-2484,6804
5276,9048,12473,-2504,2648
5286,13443,12394,2483,8395
5296,7705,7153,2462,14008
5306,1845,6767,-2563,9455
5316,5877,11240,-2581,4753
5326,9817,10569,2408,9922
5336,3681,4764,2392,14936
5346,-2513,3851,-2628,9765
5356,1253,7844,-2640,4443
5366,4999,6747,2356,8996
5376,-1253,578,2349,13407
5386,-7486,-635,-2662,7660
5396,-3681,3128,-2664,1792
5406,182,1876,2341,5842
5416,-5877,-4371,2344,9800
5426,-11845,-5584,-2657,3660
5436,-7705,-1743,-2649,-2540
5446,-3443,-2840,2365,1245
5456,-9048,-8859,2378,5010
5466,-14510,-9771,-2614,-1248
5476,-9822,-5564,-2599,-7486
5486,-4980,-6235,2425,-3661
5496,-9980,-11774,2443,219
5506,-14822,-12160,-2544,-5845
5516,-9510,-7389,-2523,-11820
5526,-4048,-7468,2503,-7664
5536,-8443,-12395,2522,-3385
5546,-12705,-12160,-2463,-8999
5556,-6845,-6768,-2444,-14470
5566,-877,-6235,2580,-9769
5576,-4817,-10570,2598,-4913
5586,-8681,-9772,-2393,-9926
5596,-2486,-3852,-2379,-14780
5606,3746,-2839,2639,-9458
5616,0,-6748,2649,-3987
5626,-3746,-5584,-2350,-8397
5636,2486,634,-2344,-12676
5646,8681,1876,2663,-6808
5656,4817,-1877,2663,-833
5666,877,-635,-2344,-4791
5676,6845,5583,-2350,-8674
5686,12705,6747,2649,-2474
5696,8443,2838,2639,3763
5706,4048,3851,-2379,-1
5716,9510,9771,-2393,-3766
5726,14822,10569,2598,2471
5736,9980,6234,2580,8671
5746,4980,6767,-2444,4788
5756,9822,12159,-2463,830
5766,14510,12394,2522,6805
5776,9048,7467,2503,12673
5786,3443,7388,-2523,8394
5796,7705,12159,-2544,3984
5806,11845,11773,2443,9455
5816,5877,6234,2425,14777
5826,-182,5563,-2599,9923
5836,3681,9770,-2614,4910
5846,7486,8858,2378,9766
5856,1253,2839,2365,14467
5866,-5000,1742,-2649,8996
5876,-1253,5583,-2657,3382
5886,2513,4370,2344,7661
5896,-3681,-1878,2341,11817
5906,-9817,-3129,-2665,5842
5916,-5877,634,-2662,-222
5926,-1845,-578,2349,3658
5936,-7705,-6748,2356,7483
5946,-13443,-7845,-2640,1244
5956,-9048,-3852,-2628,-5014
5966,-4510,-4765,2392,-1248
5976,-9822,-10570,2408,2538
5986,-14980,-11241,-2581,-3662
5996,-9980,-6768,-2563,-9803
6006,-4822,-7154,2462,-5845
6016,-9510,-12395,2483,-1795
6026,-14048,-12474,-2504,-7663
6036,-8443,-7389,-2484,-13410
6046,-2705,-7154,2543,-8999
6056,-6845,-11774,2562,-4446
6066,-10877,-11241,-2426,-9768
6076,-4817,-5564,-2409,-14939
6086,1318,-4765,2613,-9925
6096,-2486,-8858,2627,-4756
6106,-6253,-7846,-2367,-9458
6116,0,-1743,-2357,-14011
6126,6253,-578,2655,-8398
6136,2486,-4371,2661,-2651
6146,-1318,-3129,-2342,-6807
6156,4817,3128,-2342,-10858
6166,10877,4370,2661,-4792
6176,6845,577,2655,1350
6186,2705,1742,-2357,-2474
6196,8443,7845,-2367,-6259
6206,14048,8857,2627,-1
6216,9510,4764,2613,6256
6226,4822,5563,-2409,2471
6236,9980,11240,-2426,-1353
6246,14980,11773,2562,4789
6256,9822,7153,2543,10855
6266,4510,7388,-2484,6804
6276,9048,12473,-2504,2648
6286,13443,12394,2483,8395
6296,7705,7153,2462,14008
6306,1845,6767,-2563,9455
6316,5877,11240,-2581,4753
6326,9817,10569,2408,9922
6336,3681,4764,2392,14936
6346,-2513,3851,-2628,9765
6356,1253,7844,-2640,4443
6366,4999,6747,2356,8996
6376,-1253,578,2349,13407
6386,-7486,-635,-2662,7660
6396,-3681,3128,-2664,1792
6406,182,1876,2341,5842
6416,-5877,-4371,2344,9800
6426,-11845,-5584,-2657,3660
6436,-7705,-1743,-2649,-2540
6446,-3443,-2840,2365,1245
6456,-9048,-8859,2378,5010
6466,-14510,-9771,-2614,-1248
6476,-9822,-5564,-2599,-7486
6486,-4980,-6235,2425,-3661
6496,-9980,-11774,2443,219
6506,-14822,-12160,-2544,-5845
6516,-9510,-7389,-2523,-11820
6526,-4048,-7468,2503,-7664
6536,-8443,-12395,2522,-3385
6546,-12705,-12160,-2463,-8999
6556,-6845,-6768,-2444,-14470
6566,-877,-6235,2580,-9769
6576,-4817,-10570,2598,-4913
6586,-8681,-9772,-2393,-9926
6596,-2486,-3852,-2379,-14780
6606,3746,-2839,2639,-9458
6616,0,-6748,2649,-3987
6626,-3746,-5584,-2350,-8397
6636,2486,634,-2344,-12676
6646,8681,1876,2663,-6808
6656,4817,-1877,2663,-833
6666,877,-635,-2344,-4791
6676,6845,5583,-2350,-8674
6686,12705,6747,2649,-2474
6696,8443,2838,2639,3763
6706,4048,3851,-2379,-1
6716,9510,9771,-2393,-3766
6726,14822,10569,2598,2471
6736,9980,6234,2580,8671
6746,4980,6767,-2444,4788
6756,9822,12159,-2463,830
6766,14510,12394,2522,6805
6776,9048,7467,2503,12673
6786,3443,7388,-2523,8394
6796,7705,12159,-2544,3984
6806,11845,11773,2443,9455
6816,5877,6234,2425,14777
6826,-182,5563,-2599,9923
6836,3681,9770,-2614,4910
6846,7486,8858,2378,9766
6856,1253,2839,2365,14467
6866,-5000,1742,-2649,8996
6876,-1253,5583,-2657,3382
6886,2513,4370,2344,7661
6896,-3681,-1878,2341,11817
6906,-9817,-3129,-2665,5842
6916,-5877,634,-2662,-222
6926,-1845,-578,2349,3658
6936,-7705,-6748,2356,7483
6946,-13443,-7845,-2640,1244
6956,-9048,-3852,-2628,-5014
6966,-4510,-4765,2392,-1248
6976,-9822,-10570,2408,2538
6986,-14980,-11241,-2581,-3662
6996,-9980,-6768,-2563,-9803
7006,-4822,-7154,2462,-5845
7016,-9510,-12395,2483,-1795
7026,-14048,-12474,-2504,-7663
7036,-8443,-7389,-2484,-13410
7046,-2705,-7154,2543,-8999
7056,-6845,-11774,2562,-4446
7066,-10877,-11241,-2426,-9768
7076,-4817,-5564,-2409,-14939
7086,1318,-4765,2613,-9925
7096,-2486,-8858,2627,-4756
7106,-6253,-7846,-2367,-9458
7116,0,-1743,-2357,-14011
7126,6253,-578,2655,-8398
7136,2486,-4371,2661,-2651
7146,-1318,-3129,-2342,-6807
7156,4817,3128,-2342,-10858
7166,10877,4370,2661,-4792
7176,6845,577,2655,1350
7186,2705,1742,-2357,-2474
7196,8443,7845,-2367,-6259
7206,14048,8857,2627,-1
7216,9510,4764,2613,6256
7226,4822,5563,-2409,2471
7236,9980,11240,-2426,-1353
7246,14980,11773,2562,4789
7256,9822,7153,2543,10855
7266,4510,7388,-2484,6804
7276,9048,12473,-2504,2648
7286,13443,12394,2483,8395
7296,7705,7153,2462,14008
7306,1845,6767,-2563,9455
7316,5877,11240,-2581,4753
7326,9817,10569,2408,9922
7336,3681,4764,2392,14936
7346,-2513,3851,-2628,9765
7356,1253,7844,-2640,4443
7366,4999,6747,2356,8996
7376,-1253,578,2349,13407
7386,-7486,-635,-2662,7660
7396,-3681,3128,-2664,1792
7406,182,1876,2341,5842
7416,-5877,-4371,2344,9800
7426,-11845,-5584,-2657,3660
7436,-7705,-1743,-2649,-2540
7446,-3443,-2840,2365,1245
7456,-9048,-8859,2378,5010
7466,-14510,-9771,-2614,-1248
7476,-9822,-5564,-2599,-7486
7486,-4980,-6235,2425,-3661
7496,-9980,-11774,2443,219
7506,-14822,-12160,-2544,-5845
7516,-9510,-7389,-2523,-11820
7526,-4048,-7468,2503,-7664
7536,-8443,-12395,2522,-3385
7546,-12705,-12160,-2463,-8999
7556,-6845,-6768,-2444,-14470
7566,-877,-6235,2580,-9769
7576,-4817,-10570,2598,-4913
7586,-8681,-9772,-2393,-9926
7596,-2486,-3852,-2379,-14780
7606,3746,-2839,2639,-9458
7616,0,-6748,2649,-3987
7626,-3746,-5584,-2350,-8397
7636,2486,634,-2344,-12676
7646,8681,1876,2663,-6808
7656,4817,-1877,2663,-833
7666,877,-635,-2344,-4791
7676,6845,5583,-2350,-8674
7686,12705,6747,2649,-2474
7696,8443,2838,2639,3763
7706,4048,3851,-2379,-1
7716,9510,9771,-2393,-3766
7726,14822,10569,2598,2471
7736,9980,6234,2580,8671
7746,4980,6767,-2444,4788
7756,9822,12159,-2463,830
7766,14510,12394,2522,6805
7776,9048,7467,2503,12673
7786,3443,7388,-2523,8394
7796,7705,12159,-2544,3984
7806,11845,11773,2443,9455
7816,5877,6234,2425,14777
7826,-182,5563,-2599,9923
7836,3681,9770,-2614,4910
7846,7486,8858,2378,9766
7856,1253,2839,2365,14467
7866,-5000,1742,-2649,8996
7876,-1253,5583,-2657,3382
7886,2513,4370,2344,7661
7896,-3681,-1878,2341,11817
7906,-9817,-3129,-2665,5842
7916,-5877,634,-2662,-222
7926,-1845,-578,2349,3658
7936,-7705,-6748,2356,7483
7946,-13443,-7845,-2640,1244
7956,-9048,-3852,-2628,-5014
7966,-4510,-4765,2392,-1248
7976,-9822,-10570,2408,2538
7986,-14980,-11241,-2581,-3662
7996,-9980,-6768,-2563,-9803
8006,-4822,-7154,2462,-5845
8016,-9510,-12395,2483,-1795
8026,-14048,-12474,-2504,-7663
8036,-8443,-7389,-2484,-13410
8046,-2705,-7154,2543,-8999
8056,-6845,-11774,2562,-4446
8066,-10877,-11241,-2426,-9768
8076,-4817,-5564,-2409,-14939
8086,1318,-4765,2613,-9925
8096,-2486,-8858,2627,-4756
8106,-6253,-7846,-2367,-9458
8116,0,-1743,-2357,-14011
8126,6253,-578,2655,-8398
8136,2486,-4371,2661,-2651
8146,-1318,-3129,-2342,-6807
8156,4817,3128,-2342,-10858
8166,10877,4370,2661,-4792
8176,6845,577,2655,1350
8186,2705,1742,-2357,-2474
8196,8443,7845,-2367,-6259
8206,14048,8857,2627,-1
8216,9510,4764,2613,6256
8226,4822,5563,-2409,2471
8236,9980,11240,-2426,-1353
8246,14980,11773,2562,4789
8256,9822,7153,2543,10855
8266,4510,7388,-2484,6804
8276,9048,12473,-2504,2648
8286,13443,12394,2483,8395
8296,7705,7153,2462,14008
8306,1845,6767,-2563,9455
8316,5877,11240,-2581,4753
8326,9817,10569,2408,9922
8336,3681,4764,2392,14936
8346,-2513,3851,-2628,9765
8356,1253,7844,-2640,4443
8366,4999,6747,2356,8996
8376,-1253,578,2349,13407
8386,-7486,-635,-2662,7660
8396,-3681,3128,-2664,1792
8406,182,1876,2341,5842
8416,-5877,-4371,2344,9800
8426,-11845,-5584,-2657,3660
8436,-7705,-1743,-2649,-2540
8446,-3443,-2840,2365,1245
8456,-9048,-8859,2378,5010
8466,-14510,-9771,-2614,-1248
8476,-9822,-5564,-2599,-7486
8486,-4980,-6235,2425,-3661
8496,-9980,-11774,2443,219
8506,-14822,-12160,-2544,-5845
8516,-9510,-7389,-2523,-11820
8526,-4048,-7468,2503,-7664
8536,-8443,-12395,2522,-3385
8546,-12705,-12160,-2463,-8999
8556,-6845,-6768,-2444,-14470
8566,-877,-6235,2580,-9769
8576,-4817,-10570,2598,-4913
8586,-8681,-9772,-2393,-9926
8596,-2486,-3852,-2379,-14780
8606,3746,-2839,2639,-9458
8616,0,-6748,2649,-3987
8626,-3746,-5584,-2350,-8397
8636,2486,634,-2344,-12676
8646,8681,1876,2663,-6808
8656,4817,-1877,2663,-833
8666,877,-635,-2344,-4791
8676,6845,5583,-2350,-8674
8686,12705,6747,2649,-2474
8696,8443,2838,2639,3763
8706,4048,3851,-2379,-1
8716,9510,9771,-2393,-3766
8726,14822,10569,2598,2471
8736,9980,6234,2580,8671
8746,4980,6767,-2444,4788
8756,9822,12159,-2463,830
8766,14510,12394,2522,6805
8776,9048,7467,2503,12673
8786,3443,7388,-2523,8394
8796,7705,12159,-2544,3984
8806,11845,11773,2443,9455
8816,5877,6234,2425,14777
8826,-182,5563,-2599,9923
8836,3681,9770,-2614,4910
8846,7486,8858,2378,9766
8856,1253,2839,2365,14467
8866,-5000,1742,-2649,8996
8876,-1253,5583,-2657,3382
8886,2513,4370,2344,7661
8896,-3681,-1878,2341,11817
8906,-9817,-3129,-2665,5842
8916,-5877,634,-2662,-222
8926,-1845,-578,2349,3658
8936,-7705,-6748,2356,7483
8946,-13443,-7845,-2640,1244
8956,-9048,-3852,-2628,-5014
8966,-4510,-4765,2392,-1248
8976,-9822,-10570,2408,2538
8986,-14980,-11241,-2581,-3662
8996,-9980,-6768,-2563,-9803
9006,-4822,-7154,2462,-5845
9016,-9510,-12395,2483,-1795
9026,-14048,-12474,-2504,-7663
9036,-8443,-7389,-2484,-13410
9046,-2705,-7154,2543,-8999
9056,-6845,-11774,2562,-4446
9066,-10877,-11241,-2426,-9768
9076,-4817,-5564,-2409,-14939
9086,1318,-4765,2613,-9925
9096,-2486,-8858,2627,-4756
9106,-6253,-7846,-2367,-9458
9116,0,-1743,-2357,-14011
9126,6253,-578,2655,-8398
9136,2486,-4371,2661,-2651
9146,-1318,-3129,-2342,-6807
9156,4817,3128,-2342,-10858
9166,10877,4370,2661,-4792
9176,6845,577,2655,1350
9186,2705,1742,-2357,-2474
9196,8443,7845,-2367,-6259
9206,14048,8857,2627,-1
9216,9510,4764,2613,6256
9226,4822,5563,-2409,2471
9236,9980,11240,-2426,-1353
9246,14980,11773,2562,4789
9256,9822,7153,2543,10855
9266,4510,7388,-2484,6804
9276,9048,12473,-2504,2648
9286,13443,12394,2483,8395
9296,7705,7153,2462,14008
9306,1845,6767,-2563,9455
9316,5877,11240,-2581,4753
9326,9817,10569,2408,9922
9336,3681,4764,2392,14936
9346,-2513,3851,-2628,9765
9356,1253,7844,-2640,4443
9366,4999,6747,2356,8996
9376,-1253,578,2349,13407
9386,-7486,-635,-2662,7660
9396,-3681,3128,-2664,1792
9406,182,1876,2341,5842
9416,-5877,-4371,2344,9800
9426,-11845,-5584,-2657,3660
9436,-7705,-1743,-2649,-2540
9446,-3443,-2840,2365,1245
9456,-9048,-8859,2378,5010
9466,-14510,-9771,-2614,-1248
9476,-9822,-5564,-2599,-7486
9486,-4980,-6235,2425,-3661
9496,-9980,-11774,2443,219
9506,-14822,-12160,-2544,-5845
9516,-9510,-7389,-2523,-11820
9526,-4048,-7468,2503,-7664
9536,-8443,-12395,2522,-3385
9546,-12705,-12160,-2463,-8999
9556,-6845,-6768,-2444,-14470
9566,-877,-6235,2580,-9769
9576,-4817,-10570,2598,-4913
9586,-8681,-9772,-2393,-9926
9596,-2486,-3852,-2379,-14780
9606,3746,-2839,2639,-9458
9616,0,-6748,2649,-3987
9626,-3746,-5584,-2350,-8397
9636,2486,634,-2344,-12676
9646,8681,1876,2663,-6808
9656,4817,-1877,2663,-833
9666,877,-635,-2344,-4791
9676,6845,5583,-2350,-8674
9686,12705,6747,2649,-2474
9696,8443,2838,2639,3763
9706,4048,3851,-2379,-1
9716,9510,9771,-2393,-3766
9726,14822,10569,2598,2471
9736,9980,6234,2580,8671
9746,4980,6767,-2444,4788
9756,9822,12159,-2463,830
9766,14510,12394,2522,6805
9776,9048,7467,2503,12673
9786,3443,7388,-2523,8394
9796,7705,12159,-2544,3984
9806,11845,11773,2443,9455
9816,5877,6234,2425,14777
9826,-182,5563,-2599,9923
9836,3681,9770,-2614,4910
9846,7486,8858,2378,9766
9856,1253,2839,2365,14467
9866,-5000,1742,-2649,8996
9876,-1253,5583,-2657,3382
9886,2513,4370,2344,7661
9896,-3681,-1878,2341,11817
9906,-9817,-3129,-2665,5842
9916,-5877,634,-2662,-222
9926,-1845,-578,2349,3658
9936,-7705,-6748,2356,7483
9946,-13443,-7845,-2640,1244
9956,-9048,-3852,-2628,-5014
9966,-4510,-4765,2392,-1248
9976,-9822,-10570,2408,2538
9986,-14980,-11241,-2581,-3662
9996,-9980,-6768,-2563,-9803
10006,-4822,-7154,2462,-5845
10016,-9510,-12395,2483,-1795
10026,-14048,-12474,-2504,-7663
10036,-8443,-7389,-2484,-13410
10046,-2705,-7154,2543,-8999
10056,-6845,-11774,2562,-4446
10066,-10877,-11241,-2426,-9768
10076,-4817,-5564,-2409,-14939
10086,1318,-4765,2613,-9925
10096,-2486,-8858,2627,-4756
10106,-6253,-7846,-2367,-9458
10116,0,-1743,-2357,-14011
